,date,actual_pickup,scheduled_pickup,actual_pickup_boxcox,rolling_std_original,rolling_std_boxcox,scheduled_pickup_lag_7,scheduled_pickup_lag_14,actual_pickup_boxcox_lag_7,actual_pickup_boxcox_lag_14
0,2023-11-01,16,15,2.649798877260961,,,13.0,25.0,1.9794688321460179,3.017142392892345
1,2023-11-02,0,1,0.0,,,23.0,30.0,2.9485083994047625,3.1391943904480786
2,2023-11-03,0,0,0.0,,,0.0,0.0,0.0,0.0
3,2023-11-04,0,1,0.0,,,0.0,1.0,0.0,0.0
4,2023-11-05,0,0,0.0,,,0.0,1.0,0.0,0.0
5,2023-11-06,18,56,2.7466836096847236,,,2.0,49.0,0.0,3.5681378368963395
6,2023-11-07,15,29,2.596773680929611,,,61.0,19.0,3.73230335537129,2.7466836096847236
7,2023-11-08,7,13,1.9794688321460179,,,25.0,25.0,3.017142392892345,3.017142392892345
8,2023-11-09,23,23,2.9485083994047625,,,30.0,39.0,3.1391943904480786,3.402739893664362
9,2023-11-10,0,0,0.0,,,0.0,3.0,0.0,0.0
10,2023-11-11,0,0,0.0,,,1.0,3.0,0.0,0.0
11,2023-11-12,0,0,0.0,,,1.0,1.0,0.0,0.0
12,2023-11-13,0,2,0.0,,,49.0,82.0,3.5681378368963395,3.983493003837781
13,2023-11-14,60,61,3.73230335537129,,,19.0,37.0,2.7466836096847236,3.3389934118434503
14,2023-11-15,25,25,3.017142392892345,,,25.0,32.0,3.017142392892345,3.193967390135574
15,2023-11-16,29,30,3.1391943904480786,,,39.0,44.0,3.402739893664362,3.4229076408035533
16,2023-11-17,0,0,0.0,,,3.0,7.0,0.0,0.0
17,2023-11-18,0,1,0.0,,,3.0,1.0,0.0,0.0
18,2023-11-19,0,1,0.0,,,1.0,0.0,0.0,0.0
19,2023-11-20,49,49,3.5681378368963395,,,82.0,68.0,3.983493003837781,3.600640933727264
20,2023-11-21,18,19,2.7466836096847236,,,37.0,28.0,3.3389934118434503,3.44257841158539
21,2023-11-22,25,25,3.017142392892345,,,32.0,43.0,3.193967390135574,3.2452650816098783
22,2023-11-23,40,39,3.402739893664362,,,44.0,42.0,3.4229076408035533,3.220023485356456
23,2023-11-24,0,3,0.0,,,7.0,1.0,0.0,0.0
24,2023-11-25,0,3,0.0,,,1.0,14.0,0.0,0.0
25,2023-11-26,0,1,0.0,,,0.0,0.0,0.0,0.0
26,2023-11-27,82,82,3.983493003837781,,,68.0,33.0,3.600640933727264,3.220023485356456
27,2023-11-28,37,37,3.3389934118434503,,,28.0,25.0,3.44257841158539,3.1391943904480786
28,2023-11-29,31,32,3.193967390135574,,,43.0,20.0,3.2452650816098783,2.8736006112560792
29,2023-11-30,41,44,3.4229076408035533,21.382235617446554,1.6090176071072944,42.0,62.0,3.220023485356456,3.5167362663353328
30,2023-12-01,0,7,0.0,21.61151247054143,1.6248629572310571,1.0,18.0,0.0,0.0
31,2023-12-02,0,1,0.0,21.61151247054143,1.6248629572310571,14.0,14.0,0.0,0.0
32,2023-12-03,0,0,0.0,21.61151247054143,1.6248629572310571,0.0,0.0,0.0,0.0
33,2023-12-04,51,68,3.600640933727264,22.251669187033933,1.6384967440306566,33.0,41.0,3.220023485356456,3.5342429632119923
34,2023-12-05,42,28,3.44257841158539,22.377148647877267,1.637246755806469,25.0,36.0,3.1391943904480786,3.3165658227715964
35,2023-12-06,33,43,3.2452650816098783,22.503537397535943,1.6497136936019392,20.0,51.0,2.8736006112560792,3.3608109410157287
36,2023-12-07,32,42,3.220023485356456,22.58025279070086,1.6637945093935922,62.0,30.0,3.5167362663353328,3.1670437934366173
37,2023-12-08,0,1,0.0,22.763552234763964,1.696722923722728,18.0,12.0,0.0,0.0
38,2023-12-09,0,14,0.0,23.065249773770862,1.711277396580118,14.0,24.0,0.0,0.0
39,2023-12-10,0,0,0.0,23.065249773770862,1.711277396580118,0.0,3.0,0.0,0.0
40,2023-12-11,32,33,3.220023485356456,22.855392482240187,1.7039495049634141,41.0,1.0,3.5342429632119923,0.0
41,2023-12-12,29,25,3.1391943904480786,22.55221272626202,1.687409360680547,36.0,2.0,3.3165658227715964,0.0
42,2023-12-13,21,20,2.8736006112560792,22.17280616731525,1.6582595764873989,51.0,66.0,3.3608109410157287,3.833260536839853
43,2023-12-14,46,62,3.5167362663353328,21.49474675196324,1.6508407787266721,30.0,57.0,3.1670437934366173,3.498834859031191
44,2023-12-15,0,18,0.0,21.859951309743753,1.6765277880845588,12.0,18.0,0.0,0.0
45,2023-12-16,0,14,0.0,22.145521848243593,1.6924087762900335,24.0,3.0,0.0,0.0
46,2023-12-17,0,0,0.0,22.145521848243593,1.6924087762900335,3.0,0.0,0.0,0.0
47,2023-12-18,47,41,3.5342429632119923,22.321681640601536,1.6883579117175493,1.0,3.0,0.0,0.0
48,2023-12-19,36,36,3.3165658227715964,22.07187839971836,1.6693382290005234,2.0,12.0,0.0,3.382050023310434
49,2023-12-20,38,51,3.3608109410157287,21.714685956902446,1.6630086018322265,66.0,53.0,3.833260536839853,3.2452650816098783
50,2023-12-21,30,30,3.1670437934366173,21.735637350546742,1.6713899699166268,57.0,50.0,3.498834859031191,3.382050023310434
51,2023-12-22,0,12,0.0,22.135839769451948,1.6986197334934756,18.0,14.0,0.0,0.6817938513425527
52,2023-12-23,0,24,0.0,22.23531415119424,1.7083464095522949,3.0,19.0,0.0,0.0
53,2023-12-24,0,3,0.0,22.23531415119424,1.7083464095522949,0.0,19.0,0.0,0.0
54,2023-12-25,0,1,0.0,22.23531415119424,1.7083464095522949,3.0,80.0,0.0,3.912006386627682
55,2023-12-26,0,2,0.0,22.23531415119424,1.7083464095522949,12.0,34.0,3.382050023310434,3.2452650816098783
56,2023-12-27,68,66,3.833260536839853,21.023358656394613,1.7018902765483526,53.0,16.0,3.2452650816098783,2.791190198788117
57,2023-12-28,45,57,3.498834859031191,21.2893584123429,1.7071784601100977,50.0,34.0,3.382050023310434,3.382050023310434
58,2023-12-29,0,18,0.0,21.52488535753843,1.7159282173950035,14.0,8.0,0.6817938513425527,0.0
59,2023-12-30,0,3,0.0,21.42723586423618,1.7098106586201134,19.0,8.0,0.0,0.0
60,2023-12-31,0,0,0.0,21.42723586423618,1.7098106586201134,19.0,20.0,0.0,0.0
61,2024-01-01,0,3,0.0,21.42723586423618,1.7098106586201134,80.0,47.0,3.912006386627682,3.2697405010008795
62,2024-01-02,39,12,3.382050023310434,21.459638672494535,1.714512586157535,34.0,27.0,3.2452650816098783,2.8736006112560792
63,2024-01-03,33,53,3.2452650816098783,20.79370483871357,1.7019549443419746,16.0,25.0,2.791190198788117,3.1103548456082684
64,2024-01-04,39,50,3.382050023310434,20.68638288298873,1.6998114051628557,34.0,28.0,3.382050023310434,3.3165658227715964
65,2024-01-05,1,14,0.6817938513425527,20.76092704948464,1.6819451688174836,8.0,16.0,0.0,0.6817938513425527
66,2024-01-06,0,19,0.0,20.831673497097036,1.6763489955807833,8.0,25.0,0.0,0.0
67,2024-01-07,0,19,0.0,20.831673497097036,1.6763489955807833,20.0,15.0,0.0,0.0
68,2024-01-08,75,80,3.912006386627682,23.120598369538737,1.7097406269555246,47.0,51.0,3.2697405010008795,3.647017829408276
69,2024-01-09,33,34,3.2452650816098783,22.955128643387795,1.707541917355578,27.0,41.0,2.8736006112560792,3.1103548456082684
70,2024-01-10,19,16,2.791190198788117,22.851067029086764,1.6962250578304596,25.0,12.0,3.1103548456082684,3.017142392892345
71,2024-01-11,39,34,3.382050023310434,23.059368654814048,1.7039122738443384,28.0,11.0,3.3165658227715964,3.3389934118434503
72,2024-01-12,0,8,0.0,23.354243504236493,1.7166238093328645,16.0,9.0,0.6817938513425527,0.0
73,2024-01-13,0,8,0.0,23.06951015627715,1.7018186293887358,25.0,28.0,0.0,0.0
74,2024-01-14,0,20,0.0,23.06951015627715,1.7018186293887358,15.0,17.0,0.0,0.0
75,2024-01-15,34,47,3.2697405010008795,22.986352772745473,1.7077243024621638,51.0,73.0,3.647017829408276,3.70489048982411
76,2024-01-16,21,27,2.8736006112560792,22.699460725783318,1.6954272842276674,41.0,18.0,3.1103548456082684,2.83342374043373
77,2024-01-17,28,25,3.1103548456082684,22.17630505172416,1.681285326833904,12.0,11.0,3.017142392892345,2.791190198788117
78,2024-01-18,36,28,3.3165658227715964,22.17630505172416,1.681285326833904,11.0,16.0,3.3389934118434503,2.8736006112560792
79,2024-01-19,1,16,0.6817938513425527,22.127348242161446,1.6600395590237618,9.0,16.0,0.0,0.0
80,2024-01-20,0,25,0.0,22.245469640810686,1.6571505178853052,28.0,11.0,0.0,0.0
81,2024-01-21,0,15,0.0,22.245469640810686,1.6571505178853052,17.0,26.0,0.0,0.0
82,2024-01-22,54,51,3.647017829408276,22.99187762627509,1.6779549670656728,73.0,59.0,3.70489048982411,3.6618898526628447
83,2024-01-23,28,41,3.1103548456082684,22.7682224607673,1.6712242062701659,18.0,34.0,2.83342374043373,2.7466836096847236
84,2024-01-24,25,12,3.017142392892345,22.475427194743308,1.6553475720833746,11.0,11.0,2.791190198788117,3.0804539349579154
85,2024-01-25,37,11,3.3389934118434503,22.320677491468782,1.6414596179021128,16.0,57.0,2.8736006112560792,3.2452650816098783
86,2024-01-26,0,9,0.0,20.876786866878184,1.6369002819281022,16.0,26.0,0.0,0.0
87,2024-01-27,0,28,0.0,20.601194028558123,1.63605030237192,11.0,9.0,0.0,0.0
88,2024-01-28,0,17,0.0,20.601194028558123,1.63605030237192,26.0,16.0,0.0,0.0
89,2024-01-29,58,73,3.70489048982411,21.54706156460703,1.6447046808069452,59.0,70.0,3.6618898526628447,3.7587902345508457
90,2024-01-30,20,18,2.83342374043373,21.21374527295327,1.6187426377102467,34.0,11.0,2.7466836096847236,3.5342429632119923
91,2024-01-31,19,11,2.791190198788117,20.856074943981326,1.5857978131824557,11.0,17.0,3.0804539349579154,2.8736006112560792
92,2024-02-01,21,16,2.8736006112560792,20.586487030959464,1.5730793789294835,57.0,43.0,3.2452650816098783,3.402739893664362
93,2024-02-02,0,16,0.0,20.78726400533717,1.594059582635369,26.0,31.0,0.0,0.0
94,2024-02-03,0,11,0.0,20.751651367608282,1.6026723172132948,9.0,2.0,0.0,0.0
95,2024-02-04,0,26,0.0,20.781180699478266,1.6230858172348472,16.0,8.0,0.0,0.0
96,2024-02-05,55,59,3.6618898526628447,21.526807665695866,1.6261901389289874,70.0,16.0,3.7587902345508457,0.0
97,2024-02-06,18,34,2.7466836096847236,21.195559066416042,1.5953512171906772,11.0,55.0,3.5342429632119923,3.600640933727264
98,2024-02-07,27,11,3.0804539349579154,18.609137540466516,1.566942662392119,17.0,12.0,2.8736006112560792,3.193967390135574
99,2024-02-08,33,57,3.2452650816098783,18.609137540466516,1.566942662392119,43.0,56.0,3.402739893664362,3.6764861788659347
100,2024-02-09,0,26,0.0,18.933155252521754,1.5957775085233308,31.0,58.0,0.0,0.6817938513425527
101,2024-02-10,0,9,0.0,18.813207637433752,1.6012814021260366,2.0,10.0,0.0,0.0
102,2024-02-11,0,16,0.0,18.813207637433752,1.6012814021260366,8.0,8.0,0.0,0.0
103,2024-02-12,62,70,3.7587902345508457,20.21553402935362,1.6098908817455178,16.0,35.0,0.0,3.017142392892345
104,2024-02-13,47,11,3.5342429632119923,20.492891955252567,1.600234693528069,55.0,32.0,3.600640933727264,3.2934939187194803
105,2024-02-14,21,17,2.8736006112560792,20.341029257743276,1.5906018002399274,12.0,17.0,3.193967390135574,3.2697405010008795
106,2024-02-15,40,43,3.402739893664362,20.65479822354052,1.6041871782953394,56.0,93.0,3.6764861788659347,3.784410354473241
107,2024-02-16,0,31,0.0,20.957976562855386,1.6274600674483708,58.0,18.0,0.6817938513425527,0.6817938513425527
108,2024-02-17,0,2,0.0,21.044670606106916,1.637296179560989,10.0,7.0,0.0,0.0
109,2024-02-18,0,8,0.0,21.074716561816903,1.6571513690149864,8.0,9.0,0.0,0.0
